Northwest Territories,2020-03-30,0.0013513513513513514
Nunavut,2020-03-30,0.0
British Columbia,2020-03-31,0.026926493448811904
Alberta,2020-03-31,0.01548508995317506
Saskatchewan,2020-03-31,0.019632949210414
Manitoba,2020-03-31,0.011936493220535404
Ontario,2020-03-31,0.035164284819975314
Quebec,2020-03-31,0.06162274207876814
Newfoundland and Labrador,2020-03-31,0.0608
New Brunswick,2020-03-31,0.01928374655647383
Nova Scotia,2020-03-31,0.02222558209857877
Prince Edward Island,2020-03-31,0.038112522686025406
Yukon,2020-03-31,0.007122507122507123
Northwest Territories,2020-03-31,0.0012376237623762376
Nunavut,2020-03-31,0.0
British Columbia,2020-04-01,0.02931470685293147
Alberta,2020-04-01,0.01418866788355507
Saskatchewan,2020-04-01,0.01891785924328563
Manitoba,2020-04-01,0.012944653959840995
Ontario,2020-04-01,0.039207330066055826
Quebec,2020-04-01,0.06614451090932565
Newfoundland and Labrador,2020-04-01,0.06335988414192614
New Brunswick,2020-04-01,0.0196554234409124
Nova Scotia,2020-04-01,0.02336259284267387
Prince Edward Island,2020-04-01,0.038112522686025406
Yukon,2020-04-01,0.006925207756232687
Northwest Territories,2020-04-01,0.002103049421661409
Nunavut,2020-04-01,0.0
British Columbia,2020-04-02,0.030325163663907376
Alberta,2020-04-02,0.01695390219980384
Saskatchewan,2020-04-02,0.018669566793547216
Manitoba,2020-04-02,0.015047756352495945
Ontario,2020-04-02,0.043111831442463534
Quebec,2020-04-02,0.07402538166402833
Newfoundland and Labrador,2020-04-02,0.06301652892561983
New Brunswick,2020-04-02,0.019675675675675675
Nova Scotia,2020-04-02,0.023948380692393596
Prince Edward Island,2020-04-02,0.033690658499234305
Yukon,2020-04-02,0.008086253369272238
Northwest Territories,2020-04-02,0.0020639834881320948
Nunavut,2020-04-02,0.0
British Columbia,2020-04-03,0.02940439813655262
Alberta,2020-04-03,0.017766245785681232
Saskatchewan,2020-04-03,0.01877133105802048
Manitoba,2020-04-03,0.015622317596566524
Ontario,2020-04-03,0.04786905497220507
Quebec,2020-04-03,0.07300466674644011
Newfoundland and Labrador,2020-04-03,0.05835459183673469
New Brunswick,2020-04-03,0.01886417791898332
Nova Scotia,2020-04-03,0.0235254006137061
Prince Edward Island,2020-04-03,0.033690658499234305
Yukon,2020-04-03,0.00796812749003984
Northwest Territories,2020-04-03,0.0036068530207394047
Nunavut,2020-04-03,0.0
British Columbia,2020-04-04,0.029506266709180544
Alberta,2020-04-04,0.01719449776071657
Saskatchewan,2020-04-04,0.01886638353479255
Manitoba,2020-04-04,0.01591337872200804
Ontario,2020-04-04,0.04994908770674519
Quebec,2020-04-04,0.0775488490141532
Newfoundland and Labrador,2020-04-04,0.05829596412556054
New Brunswick,2020-04-04,0.018501038323579383
Nova Scotia,2020-04-04,0.024274840567784405
Prince Edward Island,2020-04-04,0.026221692491060787
Yukon,2020-04-04,0.00784313725490196
Northwest Territories,2020-04-04,0.003421727972626176
Nunavut,2020-04-04,0.0
British Columbia,2020-04-05,0.028948888247184522
Alberta,2020-04-05,0.01974255705598989
Saskatchewan,2020-04-05,0.01907315204902336
Manitoba,2020-04-05,0.015895387988411246
Ontario,2020-04-05,0.053112709958304284
Quebec,2020-04-05,0.08278880725340003
Newfoundland and Labrador,2020-04-05,0.0610236220472441
New Brunswick,2020-04-05,0.018631248847076187
Nova Scotia,2020-04-05,0.02598175327251091
Prince Edward Island,2020-04-05,0.026221692491060787
Yukon,2020-04-05,0.007792207792207792
Northwest Territories,2020-04-05,0.0032921810699588477
Nunavut,2020-04-05,0.0
British Columbia,2020-04-06,0.029673034102894645
Alberta,2020-04-06,0.02100244613059533
Saskatchewan,2020-04-06,0.018494152046783625
Manitoba,2020-04-06,0.014795474325500435
Ontario,2020-04-06,0.054938388625592416
Quebec,2020-04-06,0.08570315543435918
Newfoundland and Labrador,2020-04-06,0.05985169491525424
New Brunswick,2020-04-06,0.018140190207819654
Nova Scotia,2020-04-06,0.027286273048984913
Prince Edward Island,2020-04-06,0.026221692491060787
Yukon,2020-04-06,0.00903225806451613
Northwest Territories,2020-04-06,0.004108463434675432
Nunavut,2020-04-06,0.0
British Columbia,2020-04-07,0.029844880597359964
Alberta,2020-04-07,0.021037309430782195
Saskatchewan,2020-04-07,0.01830599169189608
Manitoba,2020-04-07,0.01551107934238742
Ontario,2020-04-07,0.05759551520321735
Quebec,2020-04-07,0.08935575837590648
Newfoundland and Labrador,2020-04-07,0.057604850934815564
New Brunswick,2020-04-07,0.01720747295968535
Nova Scotia,2020-04-07,0.02681892897309456
Prince Edward Island,2020-04-07,0.023429179978700747
Yukon,2020-04-07,0.008894536213468869
Northwest Territories,2020-04-07,0.0040650406504065045
Nunavut,2020-04-07,0.0
British Columbia,2020-04-08,0.030179132124059725
