"REF_DATE","GEO","DGUID","Airports","Domestic and international itinerant movements","Type of operation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-03","Canada","2016A000011124","Calgary International, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32858921","1.4.1.1","11594","","","","0"
"2020-04","Canada","2016A000011124","Calgary International, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32858921","1.4.1.1","5201","","","","0"
"2020-05","Canada","2016A000011124","Calgary International, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32858921","1.4.1.1","4521","","","","0"
"2020-06","Canada","2016A000011124","Calgary International, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32858921","1.4.1.1","5538","","","","0"
"2020-01","Canada","2016A000011124","Calgary International, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32858928","1.4.2.1","3502","","","","0"
"2020-02","Canada","2016A000011124","Calgary International, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32858928","1.4.2.1","3283","","","","0"
"2020-03","Canada","2016A000011124","Calgary International, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32858928","1.4.2.1","2695","","","","0"
"2020-04","Canada","2016A000011124","Calgary International, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32858928","1.4.2.1","346","","","","0"
"2020-05","Canada","2016A000011124","Calgary International, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32858928","1.4.2.1","347","","","","0"
"2020-06","Canada","2016A000011124","Calgary International, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32858928","1.4.2.1","427","","","","0"
"2020-01","Canada","2016A000011124","Calgary International, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32858935","1.4.3.1","1043","","","","0"
"2020-02","Canada","2016A000011124","Calgary International, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32858935","1.4.3.1","983","","","","0"
"2020-03","Canada","2016A000011124","Calgary International, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32858935","1.4.3.1","852","","","","0"
"2020-04","Canada","2016A000011124","Calgary International, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32858935","1.4.3.1","31","","","","0"
"2020-05","Canada","2016A000011124","Calgary International, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32858935","1.4.3.1","27","","","","0"
"2020-06","Canada","2016A000011124","Calgary International, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32858935","1.4.3.1","23","","","","0"
"2020-01","Canada","2016A000011124","Calgary/Springbank, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32858942","1.5.1.1","4532","","","","0"
"2020-02","Canada","2016A000011124","Calgary/Springbank, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32858942","1.5.1.1","4851","","","","0"
"2020-03","Canada","2016A000011124","Calgary/Springbank, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32858942","1.5.1.1","3132","","","","0"
"2020-04","Canada","2016A000011124","Calgary/Springbank, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32858942","1.5.1.1","1888","","","","0"
"2020-05","Canada","2016A000011124","Calgary/Springbank, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32858942","1.5.1.1","2050","","","","0"
"2020-06","Canada","2016A000011124","Calgary/Springbank, Alberta","Domestic movements","Total itinerant movements","Number","223","units","0","v32858942","1.5.1.1","5553","","","","0"
"2020-01","Canada","2016A000011124","Calgary/Springbank, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32858949","1.5.2.1","47","","","","0"
"2020-02","Canada","2016A000011124","Calgary/Springbank, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32858949","1.5.2.1","50","","","","0"
"2020-03","Canada","2016A000011124","Calgary/Springbank, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32858949","1.5.2.1","29","","","","0"
"2020-04","Canada","2016A000011124","Calgary/Springbank, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32858949","1.5.2.1","4","","","","0"
"2020-05","Canada","2016A000011124","Calgary/Springbank, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32858949","1.5.2.1","3","","","","0"
"2020-06","Canada","2016A000011124","Calgary/Springbank, Alberta","Transborder movements","Total itinerant movements","Number","223","units","0","v32858949","1.5.2.1","11","","","","0"
"2020-01","Canada","2016A000011124","Calgary/Springbank, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32858956","1.5.3.1","1","","","","0"
"2020-02","Canada","2016A000011124","Calgary/Springbank, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32858956","1.5.3.1","1","","","","0"
"2020-03","Canada","2016A000011124","Calgary/Springbank, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32858956","1.5.3.1","1","","","","0"
"2020-04","Canada","2016A000011124","Calgary/Springbank, Alberta","Other international movements","Total itinerant movements","Number","223","units","0","v32858956","1.5.3.1","0","","","","0"
